#name,#CLASS:type,#CLASS,UGT2B7,UGT1A9,UGT1A4,PON1,PGM1,PC,MDH2,LSR,LIPC,IDH2,HSD17B14,HMGCS2,GOT2,GOT1,GLUD1,GDI2,FDPS,EGFR,DBI,APOM,APOH,AKR1C2,AKR1C1,ACO2
GTEX.11DXY.0526.SM.5EGGQ,Normal,0,188.635,3.433,10.826,183.011,71.823,72.382,52.174,74.588,27.711,98.62,49.192,972.147,111.132,51.326,291.913,42.104,83.348,6.422,104.089,149.691,2954.997,11.34,20.175,26.284
GTEX.11DXZ.0126.SM.5EGGY,Normal,0,327.114,18.26,50.729,237.618,96.997,105.084,59.588,76.888,20.303,201.12,58.669,1100.154,98.736,115.655,310.819,48.6,75.898,22.374,110.021,112.569,6186.076,16.485,25.813,38.99
GTEX.11EQ9.0526.SM.5A5JZ,Normal,0,145.35,24.032,36.272,212.552,128.762,145.223,135.612,103.905,43.292,161.739,4.255,1029.662,151.279,137.205,352.551,85.91,29.066,17.82,98.469,114.496,4114.53,83.941,45.775,69.876
GTEX.11GSP.0626.SM.5986T,Normal,0,115.63,3.205,6.482,52.389,20.983,32.602,28.831,41.058,18.969,32.412,22.454,447.748,51.342,36.012,101.998,23.987,47.443,6.087,58.938,65.904,1937.12,24.067,48.552,18.373
GTEX.11NUK.1226.SM.5P9GM,Normal,0,185.627,3.148,8.138,145.066,61,53.2,52.823,72.238,44.719,45.856,100.54,1020.553,78.885,54.855,303.04,28.812,73.965,10.658,110.942,162.462,2030.629,17.124,30.386,23.413
GTEX.11NV4.1326.SM.5HL6V,Normal,0,208.478,3.377,7.003,172.343,53.703,35.169,47.449,60.446,32.116,84.301,60.959,782.021,95.082,46.437,273.089,30.099,131.973,9.079,131.247,111.311,2151.355,11.822,20.161,25.935
GTEX.11OF3.0726.SM.5BC4Z,Normal,0,211.14,3.32,8.588,242.915,68.447,58.44,58.163,61.84,29.988,131.071,93.805,1033.358,143.265,83.431,521.372,49.526,104.769,21.846,130.635,152.701,3003.413,24.533,28.828,33.627
GTEX.11TT1.1726.SM.5EQLJ,Normal,0,47.925,2.302,13.311,37.737,43.672,77.488,335.971,129.434,12.875,408.166,2.946,10.585,78.699,493.228,214.51,153.431,70.472,24.052,100.313,97.289,1978.717,191.975,167.983,131.301
GTEX.11TUW.1726.SM.5BC5C,Normal,0,193.209,4.658,12.068,67.192,38.346,90.209,126.406,83.719,23.04,223.224,9.584,638.809,77.931,168.876,213.244,45.787,26.484,22.582,61.571,94.293,2257.314,64.386,108.345,30.633
GTEX.11WQC.0726.SM.5EQMR,Normal,0,168.894,7.327,17.471,208.423,74.165,121.675,70.616,61.228,24.492,166.312,39.665,808.315,120.009,71.139,354.393,49.827,66.619,15.114,132.169,129.649,3359.401,53.434,52.958,32.648
GTEX.11ZTS.1426.SM.5EQMM,Normal,0,130.384,3.176,3.416,157.479,62.45,66.728,45.901,45.287,18.463,146.933,94.525,751.012,78.8,66.948,230.919,33.595,101.667,15.772,126.674,87.784,1849.744,20.335,19.589,25.75
GTEX.11ZUS.2526.SM.59872,Normal,0,86.427,1.675,4.813,118.319,46.993,27.269,35.872,51.301,19.891,44.534,95.398,632.081,84.374,32.486,227.201,29.735,63.672,3.72,55.942,107.177,1208.893,8.189,9.776,17.226
GTEX.11ZVC.0726.SM.5FQT9,Normal,0,109.362,3.614,8.719,87.92,54.661,100.277,56.454,55.409,22.497,129.276,45.858,580.316,71.21,108.811,237.72,37.363,42.819,14.858,109.377,110.579,2044.724,19.385,17.229,28.781
GTEX.1212Z.0226.SM.59HLF,Normal,0,350.731,8.628,27.574,204.452,81.245,108.326,84.276,111.349,58.419,218.976,16.533,1297.994,126.69,112.464,219.558,38.332,58.668,13.159,130.74,202.128,5162.967,24.753,38.738,38.338
GTEX.12696.0826.SM.5EGGE,Normal,0,46.761,0.565,5.889,56.03,46.2,134.6,103.103,85.132,25.347,249.034,10.411,366.474,48.371,127.486,188.849,50.881,28.819,9.211,75.867,167.804,2727.725,30.564,20.438,32.628
GTEX.1269C.0626.SM.5FQSS,Normal,0,42.396,3.453,11.601,71.832,38.475,128.844,91.529,42.838,15.873,165.703,32.475,533.78,49.951,123.344,254.262,40.665,38.977,11.282,97.478,66.024,2058.696,13.373,13.926,30.799
GTEX.12KS4.1326.SM.5LUB3,Normal,0,111.853,0.064,5.839,126.443,57.781,163.725,122.275,47.579,25.956,240.621,9.318,922.738,85.205,249.111,215.762,53.581,99.564,12.207,171.079,232.057,4391.528,14.995,35.884,46.723
GTEX.12WSD.1426.SM.5GCN9,Normal,0,342.182,6.963,21.007,194.127,76.246,45.139,65.411,81.932,37.175,129.115,67.428,1517.786,141.315,304.568,284.093,38.819,72.329,23.804,108.883,135.908,4674.524,21.705,49.703,37.996
GTEX.12WSG.0626.SM.5FQTQ,Normal,0,54.82,3.116,14.339,107.992,75.273,104.694,156.521,94.049,12.528,219.463,17.745,321.327,97.592,410.037,161.864,92.229,43.709,42.792,92.774,45.97,3256.456,180.979,143.426,92.923
GTEX.12WSI.0226.SM.5GCNA,Normal,0,157.977,5.969,6.051,101.048,50.191,40.322,56.178,70.482,18.095,155.278,6.448,429.322,102.382,44.756,303.242,44.643,75.198,8.33,98.544,96.822,1696.649,35.277,31.435,31.874
SRR9036307,NAFLD,1,767.3484,41.98678,58.12146,449.3017228,73.55442,29.10997,43.25917,42.61704,30.01528,115.0055,8.527958,823.2371,92.79406,55.24427,369.1256,89.76076813,62.54218,30.15363,92.26441,88.72044,7663.57,39.71164,58.10395,29.77997
SRR9036308,NAFLD,1,842.4706,46.02975,57.01319,390.8322232,97.40302,30.71926,39.29069,49.6966,59.04457,111.4139,17.35231,1025.416,146.9424,75.03873,521.9253,89.81448874,67.22762,43.78852,96.71322,159.0077,10013.55,33.30495,44.04365,27.66767
SRR9036309,NAFLD,1,901.6893,42.53727,51.18562,252.5446829,114.4114,34.30641,39.36148,42.20872,45.06362,101.8316,4.988172,997.4558,107.2973,66.65405,396.1932,91.04588215,110.2989,47.23595,111.8154,146.7777,9174.156,32.30692,54.03416,27.87902
SRR9036310,NAFLD,1,1009.055,68.84505,68.98003,362.5789072,111.3499,29.83155,44.00865,36.75438,64.64061,120.9012,19.79052,1120.35,113.0368,85.76548,411.9799,110.529799,72.05454,54.95977,122.1583,160.7485,9135.184,71.82311,55.86361,29.01545
SRR9036311,NAFLD,1,374.7137,63.40363,21.71793,160.6513751,35.78514,26.36989,48.45782,24.9604,17.89379,84.3454,3.195642,270.424,57.56718,100.0257,159.2079,122.89989,26.33656,31.5955,64.41452,124.7814,2863.627,115.1738,73.19473,31.24157
SRR9036312,NAFLD,1,671.4949,48.20728,42.68332,343.2958886,75.2453,25.04312,39.66037,46.1232,48.47293,79.43881,15.2199,805.4472,100.2137,66.42817,388.428,87.87314921,115.2275,28.26811,105.5797,163.1592,8348.316,47.7374,53.98317,24.94618
SRR9036313,NAFLD,1,672.4776,31.54666,45.69552,420.651345,48.13249,11.78419,23.70938,32.92391,59.77833,76.11623,9.182946,470.6943,35.74207,36.11671,248.639,50.35994293,38.44459,12.00296,170.1277,284.3032,10047.31,27.37644,36.33409,11.67433
SRR9036314,NAFLD,1,952.242,51.03236,37.94938,290.9309408,66.29315,17.62742,35.12281,36.36686,37.36143,102.4679,12.64875,1124.26,96.38119,56.81706,369.2635,74.33312136,128.2565,30.08829,119.0211,212.2203,8414.88,42.33638,73.31487,24.73345
SRR9036315,NAFLD,1,791.0617,50.23135,37.21417,395.2731771,81.03443,25.0755,36.40148,30.50353,39.68424,135.3537,14.00033,1148.45,97.16585,78.77628,461.6519,93.96359373,162.6638,40.27273,100.0084,128.9682,9116.043,21.22302,45.30871,28.63878
SRR9036316,NAFLD,1,1079.092,34.50388,56.87556,400.6563923,122.6719,24.43464,37.1376,33.94774,94.69285,109.6717,14.10811,1618.304,122.5869,84.81467,468.111,98.22199425,148.0576,46.77311,118.7856,112.7446,7187.947,27.82045,58.1695,23.40896
SRR9036317,NAFLD,1,720.6444,45.05144,53.84128,211.2909245,92.03377,24.89696,37.12254,34.78714,45.58928,117.1483,8.775406,785.7726,95.13913,53.30753,432.4433,73.37752102,50.05537,42.69515,85.23406,82.82097,5866.73,23.14302,40.54191,24.77136
SRR9036318,NAFLD,1,1236.796,46.96581,41.65435,504.3225605,116.2897,27.17371,42.21191,50.07025,83.16651,115.9651,8.845241,1165.688,119.5527,64.79041,672.1037,95.82435699,54.79041,43.62457,133.0943,123.2049,8185.631,33.39575,62.34638,25.83638
SRR9036319,NAFLD,1,982.8444,54.84333,53.2087,358.4218158,100.9433,19.34717,43.1041,36.26723,78.0579,134.5954,16.31937,1185.081,137.4896,54.68277,599.5677,106.3001298,47.99946,41.04647,131.046,174.271,7991.629,39.39799,57.18022,26.03743
SRR9036320,NAFLD,1,971.5937,61.14257,47.55306,418.3207232,115.4685,19.86099,49.20102,34.45027,48.86399,171.5125,6.909317,1319.26,153.9613,89.06005,541.6389,135.5387008,85.1756,60.45231,102.0192,111.2219,8580.526,47.0282,55.23567,38.63616
SRR9036321,NAFLD,1,783.0873,52.9122,42.67699,309.3330893,96.89412,22.85336,32.8282,31.36324,36.33997,116.7363,5.65056,898.3787,87.02621,41.51316,455.8176,94.14037123,56.54313,30.20186,72.12403,90.84929,6769.419,14.25238,29.06909,25.29531
SRR9036322,NAFLD,1,515.4215,66.16441,76.04255,360.2749299,118.4034,43.49328,50.51062,33.45686,48.32339,92.90076,20.45987,1242.875,187.4503,187.7656,451.0716,106.1325104,46.34929,39.85996,91.17345,93.65823,7526.289,83.80768,70.94311,37.66538
SRR9036323,NAFLD,1,943.4166,59.10642,47.85954,431.972409,85.41851,18.73793,45.61848,45.61669,50.57208,139.9347,21.26235,1003.005,85.33066,74.05677,567.4403,129.9578876,204.6851,46.64273,128.053,112.3113,6255.264,34.61813,28.13596,36.5398
SRR9036324,NAFLD,1,789.8882,56.63258,53.29789,261.5684503,111.1327,23.41488,45.5325,34.5659,50.92988,142.0991,14.67984,1558.106,125.013,77.47454,476.1979,109.3695205,382.7537,43.06154,134.5797,86.09463,9312.99,30.93302,33.22875,38.587
SRR9036325,NAFLD,1,1144.033,79.00964,61.14909,430.7102121,122.9183,19.14671,51.79771,45.38228,52.36709,187.426,18.5835,1316.248,173.1839,66.79815,768.7545,124.7076353,129.9641,48.4817,117.1271,113.389,8685.001,52.24647,60.34174,50.49415
SRR9036326,NAFLD,1,848.8156,63.73444,48.54286,362.0445645,133.0335,32.44196,39.96416,48.35859,71.7985,114.817,22.74511,1074.929,149.2475,67.82712,443.8886,88.62361514,79.62172,51.42207,98.20903,118.2293,8015.057,18.19895,39.67321,28.86226
